station,lat,long,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic,annual,,,
21080100,2.772833333,-75.61305556,168.9230769,190.9141026,202.4538462,186.0538462,145.1512821,77.46923077,60.99871795,42.56923077,91.57564103,195.6435897,237.5012821,201.2461538,150.0416667,,,
21080110,2.578694444,-75.71866667,159.44,149.7466667,179.9033333,177.5583333,132.9516667,62.76166667,37.17833333,31.40166667,49.97666667,135.8916667,199.5816667,178.43,124.5684722,,,
21085020,2.652194444,-75.62925,163.8641026,160.8128205,208.624359,204.7641026,155.5192308,61.32820513,42.90897436,38.68717949,71.09230769,196.3397436,268.6910256,231.1858974,150.3181624,,,
21085030,2.760444444,-75.58272222,183.3516667,180.77,253.93,217.74,164.6083333,72.28833333,43.02166667,37.85333333,77.32666667,218.4116667,287.4033333,242.6866667,164.9493056,,,
21090020,2.855555556,-75.39919444,165.46,164.2733333,180.3422222,209.5533333,121.6155556,32.24111111,30.29333333,23.77666667,56.89777778,249.9533333,276.9711111,210.4,143.4814815,,,
21090030,2.916666667,-75.31666667,80.5359375,97.328125,172.559375,125.3109375,90.178125,29.575,23.0703125,15.415625,55.83125,156.7796875,193.759375,149.515625,99.15494792,,,
21090040,2.777583333,-75.34752778,117.2177778,123.3044444,169.6,162.4511111,106.7933333,31.36,23.02,16.69555556,44.77333333,172.0222222,216.0444444,180.18,113.6218519,,,
21090060,2.783333333,-75.33333333,104.7757576,96.98484848,185.4545455,151.4121212,95.73636364,35.62121212,24.54242424,15.90151515,54.96060606,186.069697,232.7151515,175.5727273,113.3122475,,,
21090090,2.833333333,-75.35,116.4030303,116.4242424,151.8939394,145.0787879,100.1242424,29.25757576,24.6,21.27575758,56.28787879,164.0166667,252.3818182,172.4424242,112.5155303,,,
21090110,2.865527778,-75.33988889,104.5461538,93.77820513,146.0371795,136.1115385,73.51538462,27.06538462,20.64615385,11.68717949,42.3025641,189.9179487,240.1794872,151.8512821,103.1365385,,,
21095010,2.828805556,-75.33116667,124.6544444,103.04,152.2577778,136.5266667,96.22111111,37.13444444,25.91666667,16.74555556,44.15666667,178.0755556,219.3388889,174.5233333,109.0492593,,,
21100080,2.615277778,-75.20669444,63.22894737,85.27763158,119.3026316,132.4078947,130.1447368,96.43421053,80.64473684,64.19210526,72.26973684,128.2894737,136.5526316,98.52631579,100.6059211,,,
21100140,2.434805556,-75.40088889,137.4848485,120.1545455,170.6121212,178.9242424,164.1333333,109,86.15454545,61.91818182,81.65151515,225.869697,197.6333333,149.5606061,140.2580808,,,
21105030,2.521694444,-75.32225,74.96190476,78.76190476,116.6380952,108.2952381,98.90119048,68.25714286,52.26666667,42.08809524,53.09285714,126.4547619,145.4166667,113.952381,89.92390873,,,
21105050,2.599666667,-75.41788889,84.59230769,107.5871795,155.5358974,137.1884615,92.4,37.44230769,31.24358974,20.29102564,39.16410256,151.8602564,212.0269231,166.8717949,103.0169872,,,
21110040,3.074888889,-75.16841667,63.25121951,83.54146341,128.6439024,128.6439024,101.7219512,30.77073171,20.06341463,13.36707317,30.08536585,152.7073171,175.3707317,120.2634146,87.36920732,,,
21110070,3.150333333,-75.05733333,50.5,80.16590909,113.2045455,151.3522727,100.9,48.82954545,34.70454545,29.5,52.36363636,156.4772727,180.0113636,107.3636364,92.11439394,,,
21110090,3.387138889,-75.16925,86.47777778,90.05555556,123.5,146.6444444,112.0777778,33.53333333,24.26666667,23.57777778,46.37777778,190.4,217.4444444,149.0222222,103.6148148,,,
21110120,3.305333333,-75.20077778,79.24772727,81.37272727,104.5306818,129.6806818,100.4034091,29.46363636,21.42954545,17.11818182,45.64318182,140.1988636,184.9363636,131.9079545,88.82774621,,,
21110160,3.118472222,-75.19902778,74.87555556,79.10222222,109.5266667,128.7311111,102.2533333,27.13333333,23.63777778,18.48888889,41.56444444,161.3577778,181.9022222,118.74,88.94277778,,,
21110180,3.036027778,-75.15972222,74.0875,94.9225,143.425,136.25,95.2,28.25,18.95,13.5125,34.9,173.725,211.8375,144.25,97.4425,,,
21110290,3.349555556,-75.17030556,73.01111111,84.21333333,134.6133333,156.3211111,118.2,30.65333333,22.86888889,20.17777778,52.74,189.38,226.7955556,151.0688889,105.0036111,,,
21110330,3.187388889,-75.21841667,65.63333333,83.84888889,117.6088889,144.7277778,97.09111111,31.30222222,26.66444444,20.76444444,47.62666667,157.4044444,217.8666667,120.2644444,94.23361111,,,
21110400,2.851138889,-75.10819444,114.75,141.9677419,192.0467742,163.3451613,120.8903226,63.16451613,48.19032258,35.7,50.09677419,203.1,265.0370968,184.3129032,131.8834677,,,
21110430,2.906138889,-75.12044444,106.4766667,129.7433333,181.8316667,161.065,115.855,50.76,45.17833333,30.09333333,61.74,179.8083333,232.5666667,175.245,122.5302778,,,
21110440,2.795666667,-75.23927778,132.9370968,157.1209677,182.9564516,194.0935484,122.1322581,44.05,40.18870968,17.10645161,50.63225806,235.383871,298.0419355,207.3580645,140.1668011,,,
21115020,2.94875,-75.29305556,94.56818182,108.5590909,149.3068182,146.9431818,87.82840909,32.69545455,28.70909091,18.13409091,48.20227273,181.1840909,221.5397727,149.7852273,105.6213068,,,
21115060,3.329222222,-75.18405556,71.70555556,68.61333333,106.3288889,129.7488889,99.56888889,29.03777778,21.84666667,20.90777778,47.67555556,163.3088889,197.2488889,117.8077778,89.48324074,,,
21115070,3.014944444,-75.073,61.96707317,95.81463415,144.0292683,169.9658537,125.9463415,64.04512195,53.9304878,41.30853659,59.11585366,192.4378049,182.4865854,133.9060976,110.4128049,,,
21115080,3.222527778,-75.21627778,61.82386364,73.77727273,107.8886364,128.9659091,91.28636364,33.04659091,22.60568182,18.02613636,46.67045455,158.5159091,186.3715909,113.2818182,86.85501894,,,
21115100,2.942638889,-75.06638889,99.2547619,112.2035714,172.6690476,181.6559524,131.9821429,68.11428571,50.45,44.29880952,60.64880952,210.2380952,214.2666667,154.7321429,125.0428571,,,
21115140,3.094,-74.92111111,51.08783784,69.64189189,107.5621622,108.5108108,141.7324324,104.0689189,74.48108108,67.32567568,71.92972973,136.4324324,136.0094595,95.88918919,97.05596847,,,
21115160,3.133055556,-75.08152778,43.92333333,70.06833333,115.8416667,118.8616667,90.11666667,40.165,28.655,17.595,37.43333333,131.255,157.5133333,102.3233333,79.47930556,,,
21120090,2.870333333,-75.49097222,128.202439,154.9390244,208.8756098,225.2439024,151.2073171,57.6195122,32.90243902,34.57804878,75.46097561,235.5487805,282.9390244,228.2414634,151.3132114,,,
21120100,2.865,-75.56638889,192.4,204.1315789,254.2236842,256.5789474,197.6973684,86.53947368,48.43421053,56.99473684,110.9105263,261.7868421,277.4473684,252.6210526,183.3138158,,,
21120130,2.911861111,-75.42605556,141.8409091,156.269697,208.1363636,195.2151515,100.2575758,46.34545455,25.35151515,13.99242424,50.41212121,247.1242424,274.1454545,210.9606061,139.1709596,,,
21125010,2.935694444,-75.58905556,77.99404762,106.9142857,143.9619048,185.5797619,169.575,86.38571429,51.3952381,51.80595238,88.4547619,179.3630952,176.5654762,108.3666667,118.8634921,,,
21130010,3.847333333,-74.9365,118.0581395,127.8046512,168.5581395,266.244186,206.7395349,72.97906977,47.27674419,48.62093023,116.1302326,253.5232558,231.3139535,153.8813953,150.9275194,,,
21130040,3.080638889,-75.48466667,138.255814,170.3023256,230.1069767,221.6488372,170.8604651,66.05813953,41.98837209,41.26976744,98.06046512,243.1976744,262.6162791,208.6837209,157.7540698,,,
21130050,3.243555556,-75.25594444,59.11363636,77.57727273,117.2386364,138.9545455,103.3977273,31.46590909,19.99545455,20.90909091,47.69318182,171.4886364,186.6590909,133.2045455,92.30814394,,,
21130060,3.007138889,-75.55919444,150.3295455,169.6363636,215.1022727,218.0272727,189.8977273,102.9318182,65.42613636,72.12045455,122.6681818,281.6818182,265.4818182,163.5590909,168.071875,,,
